Timestamp,accX,accY,accZ 
1684327303698,1829,-752,3668 
1684327303738,1759,-767,3689 
1684327303779,1794,-916,3589 
1684327303818,1816,-823,3688 
1684327303858,1899,-751,3683 
1684327303898,1766,-834,3658 
1684327303938,1857,-789,3716 
1684327303979,1878,-715,3683 
1684327304018,1655,-784,3639 
1684327304058,1917,-699,3688 
1684327304098,1779,-760,3623 
1684327304138,1932,-741,3539 
1684327304179,1782,-606,3685 
1684327304218,1837,-633,3731 
1684327304258,1875,-588,3612 
1684327304298,1745,-488,3727 
1684327304338,1923,-822,3533 
1684327304379,1852,-579,3692 
1684327304418,1942,-701,3669 
1684327304458,1984,-703,3654 
1684327304498,1620,-675,3694 
1684327304538,1951,-623,3634 
1684327304579,1851,-324,3715 
1684327304618,1877,-553,3652 
1684327304658,1685,-792,3654 
1684327304698,1924,-532,3686 
1684327304738,1851,-780,3586 
1684327304779,1850,-697,3629 
1684327304818,1893,-794,3628 
1684327304858,1770,-803,3658 
1684327304898,1850,-592,3725 
1684327304938,1711,-847,3605 
1684327304979,1805,-557,3803 
1684327305018,1795,-537,3715 
1684327305058,1992,167,3712 
1684327305098,1464,-186,3661 
1684327305139,1740,-624,3631 
1684327305180,1786,-400,3732 
1684327305219,1814,-210,3588 
1684327305259,1869,-202,3684 
1684327305299,1883,-37,3767 
1684327305339,1708,227,3753 
1684327305380,1865,-81,3739 
1684327305419,1872,99,3746 
1684327305459,1859,-31,3711 
1684327305499,1918,225,3735 
1684327305539,1896,-47,3599 
1684327305580,1954,203,3697 
1684327305619,1865,259,3677 
1684327305659,1875,361,3723 
1684327305699,1909,338,3718 
1684327305739,1926,447,3715 
1684327305780,1933,353,3661 
1684327305819,1930,602,3700 
1684327305859,2148,899,3731 
1684327305899,2153,364,3695 
1684327305939,1340,1401,3906 
1684327305980,1185,-1335,3324 
1684327306019,2019,-1097,3752 
1684327306059,1767,-744,3643 
1684327306099,1726,-630,4068 
1684327306139,1915,-407,3760 
1684327306180,1909,-458,3520 
1684327306219,1832,-1009,3739 
1684327306259,1996,-894,3241 
1684327306299,2048,-585,3228 
1684327306340,1987,-1003,3538 
1684327306380,1967,-836,3251 
1684327306419,1917,-1117,3582 
1684327306460,1979,-753,3489 
1684327306500,1734,-912,3683 
1684327306540,1935,-969,3672 
1684327306581,1824,-1208,3988 
1684327306620,1948,-869,3562 
1684327306660,1889,-949,3477 
1684327306700,2003,-1017,3489 
1684327306740,2034,-940,3473 
1684327306781,1864,-717,3512 
1684327306820,1967,-939,3417 
1684327306860,1851,-925,3742 
1684327306900,1911,-1077,3639 
1684327306940,1841,-1042,3487 
1684327306981,1982,-830,3484 
1684327307020,1948,-1040,3689 
1684327307060,1897,-940,3514 
1684327307100,2390,250,2074 
1684327307140,1822,-1009,3477 
1684327307181,2081,-779,3527 
1684327307220,1928,-841,3608 
1684327307260,1932,-840,3594 
1684327307300,1901,-847,3603 
1684327307340,1907,-843,3598 
1684327307381,1911,-836,3601 
1684327307420,1914,-832,3593 
1684327307460,2270,160,2331 
1684327307500,1921,-983,3696 
1684327307540,1841,-993,3538 
1684327307581,2098,-659,3542 
1684327307620,1839,-928,3682 
1684327307660,1942,-789,3469 
1684327307700,1849,-736,3706 
1684327307740,2018,-1060,3567 
1684327307782,1901,-748,3640 
1684327307820,1929,-785,3552 
1684327307860,1907,-890,3625 
1684327307901,1971,-829,3591 
1684327307941,1832,-837,3571 
1684327307982,1984,-841,3573 
1684327308021,1859,-812,3633 
1684327308061,1918,-799,3605 
1684327308101,1902,-869,3596 
1684327308141,1899,-765,3573 
1684327308182,1902,-841,3596 
1684327308221,1898,-866,3563 
1684327308261,1884,-698,3561 
1684327308301,1845,-828,3590 
1684327308341,1787,-962,3596 
1684327308382,1905,-878,3464 
1684327308421,1936,-955,3605 
1684327308461,1937,-768,3599 
1684327308501,1862,-895,3575 
1684327308541,1869,-876,3518 
1684327308582,1883,-1160,3519 
1684327308621,1830,-793,3577 
1684327308661,1943,-955,3621 
1684327308701,1890,-1033,3564 
1684327308741,1914,-943,3593 
1684327308782,1887,-859,3498 
1684327308821,1786,-855,3594 
1684327308861,1908,-983,3588 
1684327308901,1818,-1044,3618 
1684327308941,1881,-767,3521 
1684327308982,1734,-991,3705 
1684327309021,1983,-653,3500 
1684327309061,1894,-981,3638 
1684327309102,1721,-886,3513 
1684327309141,1922,-938,3781 
1684327309182,1932,-1389,3718 
1684327309222,1997,-977,3412 
1684327309261,1879,-917,3580 
1684327309302,1996,-1132,3557 
1684327309342,1888,-865,3418 
1684327309383,1814,-268,3648 
1684327309422,1819,-235,3690 
1684327309462,1823,-347,3494 
1684327309502,1796,-40,3581 
1684327309542,1664,36,3890 
1684327309583,1551,104,4094 
1684327309622,1767,-65,4287 
1684327309662,1790,-472,3774 
1684327309702,1861,-909,3322 
1684327309742,1608,-433,3882 
1684327309783,1767,-313,3628 
1684327309822,1785,-319,3856 
1684327309862,1671,-756,3722 
1684327309902,1694,-596,3635 
1684327309942,1839,-644,3805 
1684327309983,1852,-245,3772 
1684327310022,1712,-294,3762 
1684327310062,1727,-323,3619 
1684327310102,1809,-151,3855 
1684327310142,1508,-179,3815 
1684327310183,1709,20,3798 
1684327310222,1637,-117,3768 
1684327310262,1640,-73,3843 
1684327310302,1707,91,3806 
1684327310342,1755,-98,3772 
1684327310383,1652,105,3806 
1684327310422,1504,-20,3822 
1684327310462,1629,62,3815 
1684327310502,1710,76,3793 
1684327310542,1534,127,3912 
1684327310583,1562,-22,3697 
1684327310622,1287,-75,3823 
1684327310663,1491,-228,3789 
1684327310703,1628,-69,3923 
1684327310743,1888,153,4106 
1684327310784,1968,-517,3575 
1684327310823,1705,-432,3467 
1684327310863,1858,-388,3680 
1684327310903,1773,-524,3649 
1684327310943,1861,-555,3687 
1684327310984,1833,-703,3710 
1684327311023,1800,-636,3773 
1684327311063,1773,-728,3590 
1684327311103,1892,-722,3651 
1684327311143,1767,-984,3570 
1684327311184,1890,-880,3572 
1684327311223,1854,-649,3483 
1684327311263,1789,-1033,3779 
1684327311303,1918,-897,3718 
1684327311343,2016,-965,3937 
1684327311384,2070,-1156,3775 
1684327311423,2029,-1175,3778 
1684327311463,2495,-1544,3575 
1684327311503,2849,-1515,3671 
1684327311543,2823,-298,3568 
1684327311584,2559,-164,3328 
1684327311623,2892,-702,3586 
1684327311663,2442,-704,3133 
1684327311703,2848,-205,2925 
1684327311743,2489,-1034,2974 
1684327311784,2429,188,2644 
1684327311823,1878,107,3495 
1684327311863,1291,728,3409 
1684327311903,973,497,4262 
1684327311943,884,812,3796 
1684327311984,1051,2062,3544 
1684327312023,1035,1133,3779 
1684327312063,554,407,3313 
1684327312104,101,611,3282 
1684327312143,758,415,3786 
1684327312184,855,14,5468 
1684327312224,1278,364,3724 
1684327312264,2127,477,3934 
1684327312304,2437,806,3451 
1684327312344,2613,851,3781 
1684327312385,1248,-134,3941 
1684327312424,936,-1209,4032 
1684327312464,1371,-1244,3897 
1684327312504,1601,-690,3806 
1684327312544,1872,-136,3610 
1684327312585,1711,-561,3855 
1684327312624,1554,-1374,3453 
1684327312664,1624,-1151,3443 
1684327312704,1718,-1319,3428 
1684327312744,1911,-1099,3552 
1684327312785,1974,-1271,3443 
1684327312824,1688,-1588,3563 
1684327312864,1508,-1349,3652 
1684327312904,1449,-1294,3421 
1684327312944,1686,-1422,3667 
1684327312985,1362,-1642,3521 
1684327313024,1559,-1379,3539 
1684327313064,1428,-1777,3440 
1684327313104,1635,-1486,3628 
1684327313144,1367,-1576,3448 
1684327313185,1549,-1051,3700 
1684327313224,1321,-1778,3483 
1684327313264,1382,-1435,3513 
1684327313304,1550,-2447,3148 
1684327313344,1251,-2336,3185 
1684327313385,1379,-2333,3508 
1684327313424,1160,-895,3695 
1684327313464,1268,-1428,4098 
1684327313504,1031,-1555,3787 
1684327313545,1659,-2498,3295 
1684327313585,1382,-2138,3267 
1684327313625,1488,-2098,3684 
1684327313665,2143,-2462,3528 
1684327313705,2056,-1934,3790 
1684327313745,2406,-1244,3502 
1684327313786,1429,-1552,3057 
1684327313825,1071,-1789,3085 
1684327313865,287,-1530,3482 
1684327313905,59,-2334,3396 
1684327313945,-216,-1943,3542 
1684327313986,65,-691,3292 
1684327314025,159,252,4356 
