Timestamp,heartRate,ibi,flag 
1684327304658,0,32768,0
1684327305658,0,32768,0
1684327306659,0,32768,0
1684327307660,0,32768,0
1684327308661,0,32768,0
1684327309661,0,739,0
1684327310662,0,655,0
1684327311663,0,690,0
1684327312663,0,641,-2
1684327313664,0,686,0
1684327314665,89,644,1
1684327315666,89,33356,1
1684327316666,91,33356,1
1684327317667,92,592,1
1684327318667,92,1094,1
1684327319868,93,628,1
1684327320868,95,646,1
1684327321868,97,607,1
1684327322868,98,554,1
1684327323868,99,576,1
1684327324868,100,557,1
1684327325868,100,608,1
1684327326868,99,1210,1
1684327327868,100,748,1
1684327328868,100,999,1
1684327329868,100,714,1
1684327330868,100,1146,1
1684327331868,99,601,1
1684327332868,98,659,1
1684327333868,98,700,1
1684327334868,98,708,1
1684327335868,96,595,1
1684327336868,95,672,1
1684327337868,93,671,1
1684327338868,92,695,1
1684327339868,89,694,1
1684327340868,88,728,1
1684327341868,86,766,1
1684327342868,85,803,1
1684327343868,83,709,1
1684327344868,85,665,1
1684327345868,86,654,1
1684327346868,86,681,1
1684327347868,87,618,1
1684327348868,88,665,1
1684327349868,88,665,1
1684327350868,90,34127,1
1684327351868,91,34055,1
1684327352868,92,34036,1
1684327353868,91,656,1
1684327354868,91,669,1
1684327355868,89,702,1
1684327356868,89,738,1
1684327357868,88,696,1
1684327358868,87,701,1
1684327359868,86,694,1
1684327360868,87,33623,1
1684327361868,88,33623,1
1684327362868,89,34082,1
1684327363868,91,33985,1
1684327364868,92,625,1
1684327365868,92,1275,1
1684327366868,92,651,1
1684327367868,92,655,1
1684327368868,91,694,1
1684327369868,90,678,1
1684327370868,90,662,1
1684327371868,90,656,1
1684327372868,89,650,1
1684327373868,88,706,1
1684327374868,87,797,1
1684327375868,86,733,1
1684327376868,85,739,1
1684327377868,84,734,1
1684327378868,83,708,1
1684327379868,83,712,1
1684327380868,82,773,1
1684327381868,81,739,1
1684327382868,81,731,1
1684327383868,81,780,1
1684327384868,81,743,1
1684327385868,82,705,1
1684327386868,82,704,1
1684327387868,82,712,1
1684327388868,82,763,1
1684327389868,81,745,1
1684327390868,80,824,1
1684327391868,79,813,1
1684327392868,79,804,1
1684327393868,79,757,1
1684327394868,80,677,1
1684327395868,82,686,1
1684327396868,83,711,1
1684327397868,82,704,1
1684327398868,82,783,1
1684327399868,81,788,1
1684327400868,80,816,1
1684327401868,79,796,1
1684327402868,78,803,1
1684327403868,77,835,1
1684327404868,76,819,1
1684327405868,75,800,1
1684327406868,75,817,1
1684327407868,76,749,1
1684327408868,77,781,1
1684327409868,78,744,1
1684327410868,79,665,1
1684327411868,80,736,1
1684327412868,81,726,1
1684327413868,82,729,1
1684327414868,83,722,1
1684327415868,82,700,1
1684327416868,82,813,1
1684327417868,81,746,1
1684327418868,80,720,1
1684327419868,80,807,1
1684327420868,80,715,1
1684327421868,80,726,1
1684327422868,80,813,1
