Timestamp,ppgGreen 
1684327303698,2097152
1684327303738,2194894
1684327303779,2194861
1684327303818,2194784
1684327303858,2194841
1684327303898,2194894
1684327303938,2194963
1684327303979,2133587
1684327304018,2133698
1684327304058,2133591
1684327304098,2105745
1684327304138,2104315
1684327304179,2103156
1684327304218,2102228
1684327304258,2108545
1684327304298,2107530
1684327304338,2106287
1684327304379,2104825
1684327304418,2103567
1684327304458,2102695
1684327304498,2102354
1684327304538,2102171
1684327304579,2102478
1684327304618,2102845
1684327304658,2103501
1684327304698,2104320
1684327304738,2104581
1684327304779,2102249
1684327304818,2098653
1684327304858,2095376
1684327304898,2092923
1684327304938,2091758
1684327304979,2091559
1684327305018,2091907
1684327305058,2091502
1684327305098,2089733
1684327305139,2088266
1684327305180,2087304
1684327305219,2086291
1684327305259,2085548
1684327305299,2086402
1684327305339,2089602
1684327305380,2094150
1684327305419,2098493
1684327305459,2100634
1684327305499,2101158
1684327305539,2102249
1684327305580,2104620
1684327305619,2108264
1684327305659,2112225
1684327305699,2115395
1684327305739,2118424
1684327305780,2121866
1684327305819,2125424
1684327305859,2129693
1684327305899,2135315
1684327305939,2139732
1684327305980,2139786
1684327306019,2139117
1684327306059,2138473
1684327306099,2135813
1684327306139,2130870
1684327306180,2125671
1684327306219,2120493
1684327306259,2116439
1684327306299,2112447
1684327306340,2108766
1684327306380,2105424
1684327306419,2102215
1684327306460,2099842
1684327306500,2098160
1684327306540,2096984
1684327306581,2096267
1684327306620,2096506
1684327306660,2096593
1684327306700,2096935
1684327306740,2097530
1684327306781,2096557
1684327306820,2092983
1684327306860,2089689
1684327306900,2087637
1684327306940,2086381
1684327306981,2086350
1684327307020,2086561
1684327307060,2086677
1684327307100,2086894
1684327307140,2087704
1684327307181,2088343
1684327307220,2089151
1684327307260,2090040
1684327307300,2091167
1684327307340,2092012
1684327307381,2092972
1684327307420,2091781
1684327307460,2088951
1684327307500,2086594
1684327307540,2084796
1684327307581,2083441
1684327307620,2083394
1684327307660,2083228
1684327307700,2082959
1684327307740,2083000
1684327307782,2083330
1684327307820,2083906
1684327307860,2084658
1684327307901,2085599
1684327307941,2086680
1684327307982,2087815
1684327308021,2088793
1684327308061,2088249
1684327308101,2085727
1684327308141,2083017
1684327308182,2080597
1684327308221,2078691
1684327308261,2078258
1684327308301,2078291
1684327308341,2078689
1684327308382,2078988
1684327308421,2079504
1684327308461,2080225
1684327308501,2081258
1684327308541,2082353
1684327308582,2083458
1684327308621,2084808
1684327308661,2086112
1684327308701,2087594
1684327308741,2088300
1684327308782,2086695
1684327308821,2084824
1684327308861,2083033
1684327308901,2081505
1684327308941,2081211
1684327308982,2081718
1684327309021,2082299
1684327309061,2082913
1684327309102,2084128
1684327309141,2085212
1684327309182,2087184
1684327309222,2089785
1684327309261,2091717
1684327309302,2093976
1684327309342,2096498
1684327309383,2099174
1684327309422,2101120
1684327309462,2101207
1684327309502,2100263
1684327309542,2099279
1684327309583,2098718
1684327309622,2098963
1684327309662,2100268
1684327309702,2100863
1684327309742,2102063
1684327309783,2103783
1684327309822,2105312
1684327309862,2106636
1684327309902,2108894
1684327309942,2111369
1684327309983,2114520
1684327310022,2117481
1684327310062,2119801
1684327310102,2121650
1684327310142,2122230
1684327310183,2122747
1684327310222,2123870
1684327310262,2125597
1684327310302,2127972
1684327310342,2131139
1684327310383,2134464
1684327310422,2138289
1684327310462,2142265
1684327310502,2146037
1684327310542,2149360
1684327310583,2152831
1684327310622,2156105
1684327310663,2160080
1684327310703,2164451
1684327310743,2167782
1684327310784,2167329
1684327310823,2162321
1684327310863,2158189
1684327310903,2155136
1684327310943,2152342
1684327310984,2150418
1684327311023,2148420
1684327311063,2146794
1684327311103,2145000
1684327311143,2143886
1684327311184,2142940
1684327311223,2141906
1684327311263,2141289
1684327311303,2140851
1684327311343,2140465
1684327311384,2139782
1684327311423,2137921
1684327311463,2135147
1684327311503,2132928
1684327311543,2131723
1684327311584,2130013
1684327311623,2129415
1684327311663,2129401
1684327311703,2129752
1684327311743,2131126
1684327311784,2133003
1684327311823,2134466
1684327311863,2135707
1684327311903,2137519
1684327311943,2139647
1684327311984,2141067
1684327312023,2141959
1684327312063,2141039
1684327312104,2138842
1684327312143,2136764
1684327312184,2136060
1684327312224,2135826
1684327312264,2135449
1684327312304,2135520
1684327312344,2135357
1684327312385,2136434
1684327312424,2138319
1684327312464,2140472
1684327312504,2142479
1684327312544,2143649
1684327312585,2144728
1684327312624,2146281
1684327312664,2147983
1684327312704,2148615
1684327312744,2147936
1684327312785,2147116
1684327312824,2146806
1684327312864,2147358
1684327312904,2148186
1684327312944,2149340
1684327312985,2150378
1684327313024,2151281
1684327313064,2152389
1684327313104,2153166
1684327313144,2153834
1684327313185,2154233
1684327313224,2154961
1684327313264,2155650
1684327313304,2155393
1684327313344,2153867
1684327313385,2152679
1684327313424,2151965
1684327313464,2151408
1684327313504,2151490
1684327313545,2151059
1684327313585,2150720
1684327313625,2149858
1684327313665,2148442
1684327313705,2146611
1684327313745,2145138
1684327313786,2144643
1684327313825,2144901
1684327313865,2145666
1684327313905,2146334
1684327313945,2145336
1684327313986,2144721
1684327314025,2144240
1684327314065,2145827
1684327314105,2145760
1684327314145,2146391
1684327314186,2146562
1684327314225,2146079
1684327314265,2145609
1684327314305,2145555
1684327314345,2145473
1684327314386,2145799
1684327314425,2146701
1684327314465,2148167
1684327314505,2149333
1684327314545,2149462
1684327314586,2148485
1684327314625,2147433
1684327314665,2146745
1684327314705,2146951
1684327314745,2147338
1684327314786,2147582
1684327314825,2147792
1684327314865,2148294
1684327314905,2148669
1684327314945,2149262
1684327314986,2150078
1684327315025,2151398
1684327315065,2152870
1684327315106,2153489
1684327315145,2152855
1684327315187,2153145
1684327315226,2152815
1684327315266,2152427
1684327315306,2152467
1684327315346,2152604
1684327315387,2152788
1684327315426,2152641
1684327315466,2152758
1684327315506,2153281
1684327315546,2153996
1684327315587,2154898
1684327315626,2156074
1684327315666,2157090
1684327315706,2157182
1684327315746,2157026
1684327315787,2157444
1684327315826,2158346
1684327315866,2159698
1684327315906,2160782
1684327315946,2161752
1684327315987,2163224
1684327316026,2165412
1684327316066,2167578
1684327316106,2169494
1684327316146,2170740
1684327316187,2172435
1684327316226,2174029
1684327316266,2175173
1684327316306,2175830
1684327316346,2175644
1684327316387,2176203
1684327316426,2178191
1684327316466,2180168
1684327316506,2181502
1684327316547,2182107
1684327316587,2181382
1684327316627,2181832
1684327316667,2183121
1684327316707,2184376
1684327316747,2184390
1684327316788,2187726
1684327316827,2187018
1684327316867,2186681
1684327316907,2185651
1684327316947,2184947
1684327316988,2183827
1684327317027,2183377
1684327317067,2182535
1684327317107,2181924
1684327317147,2182038
1684327317188,2182616
1684327317227,2182547
1684327317267,2181884
1684327317307,2181874
1684327317347,2183056
1684327317388,2183482
1684327317427,2183954
1684327317467,2183695
1684327317507,2183375
1684327317547,2183025
1684327317588,2183777
1684327317627,2183819
1684327317667,2182687
1684327317707,2183102
1684327317747,2183612
1684327317788,2183596
1684327317827,2183644
1684327317867,2184062
1684327317907,2184735
1684327317947,2185645
1684327317989,2186929
1684327318027,2187819
1684327318067,2188443
1684327318108,2187956
1684327318147,2187346
1684327318189,2186617
1684327318228,2185749
1684327318268,2185215
1684327318308,2184420
1684327318348,2183504
1684327318389,2182951
1684327318428,2182585
1684327318468,2182345
1684327318508,2182372
1684327318548,2183085
1684327318589,2183605
1684327318628,2184047
1684327318668,2184021
1684327318708,2183392
1684327318748,2182775
1684327318789,2181903
1684327318828,2181152
1684327318868,2180559
1684327318908,2180451
1684327318948,2180107
1684327318989,2179995
1684327319028,2179920
1684327319068,2180293
1684327319108,2181106
1684327319148,2182153
1684327319189,2183620
1684327319228,2184891
1684327319268,2185223
1684327319308,2183959
1684327319348,2182283
1684327319389,2180553
1684327319428,2178632
1684327319468,2177493
1684327319508,2176481
1684327319549,2175706
1684327319589,2174756
1684327319629,2173815
1684327319669,2172957
1684327319709,2172115
1684327319749,2171674
1684327319789,2171066
1684327319829,2170464
1684327319869,2168744
1684327319909,2166221
1684327319949,2163831
1684327319989,2161534
1684327320029,2159557
1684327320069,2157826
1684327320109,2156489
1684327320149,2155255
1684327320190,2154059
1684327320229,2153037
1684327320269,2152066
1684327320309,2150959
1684327320349,2150308
1684327320390,2150033
1684327320429,2149238
1684327320469,2147573
1684327320509,2145582
1684327320549,2143768
1684327320590,2142281
1684327320629,2141717
1684327320669,2141198
1684327320709,2140649
1684327320749,2139863
1684327320790,2139450
1684327320829,2139109
1684327320869,2138786
1684327320909,2138458
1684327320949,2138645
1684327320990,2138486
1684327321029,2137618
1684327321069,2136284
1684327321110,2134994
1684327321149,2133633
1684327321190,2133083
1684327321230,2132987
1684327321270,2133074
1684327321310,2132882
1684327321350,2132503
1684327321390,2132365
1684327321430,2132635
1684327321470,2133188
1684327321510,2133722
1684327321550,2134521
1684327321591,2134553
1684327321630,2133423
1684327321670,2132109
1684327321710,2131021
1684327321750,2130487
1684327321791,2130436
1684327321830,2130665
1684327321870,2130877
1684327321910,2131152
1684327321950,2131591
1684327321991,2132175
1684327322030,2132769
1684327322070,2133544
1684327322110,2134463
1684327322150,2134624
1684327322191,2133914
1684327322230,2132991
1684327322270,2132335
1684327322310,2132032
1684327322350,2132161
1684327322391,2132524
1684327322430,2132803
1684327322470,2133141
1684327322510,2133790
1684327322551,2134271
1684327322591,2135033
1684327322631,2135669
1684327322671,2136507
1684327322711,2137210
1684327322751,2137255
1684327322791,2136875
1684327322831,2136105
1684327322871,2135367
1684327322911,2135120
1684327322951,2135295
1684327322991,2135132
1684327323031,2134615
1684327323071,2134369
1684327323111,2134123
1684327323151,2133939
1684327323192,2133782
1684327323231,2133670
1684327323271,2133593
1684327323311,2133578
1684327323351,2133369
1684327323392,2132123
1684327323431,2130773
1684327323471,2129662
1684327323511,2128248
1684327323551,2127276
1684327323592,2127058
1684327323631,2127165
1684327323671,2127436
1684327323711,2128361
1684327323751,2129329
1684327323792,2129859
1684327323831,2130207
1684327323871,2130582
1684327323911,2131398
1684327323951,2131791
1684327323992,2131596
1684327324031,2130769
1684327324071,2129551
1684327324112,2128872
1684327324151,2128519
1684327324192,2128465
1684327324232,2128401
1684327324272,2128453
1684327324312,2128575
1684327324352,2128680
1684327324392,2128949
1684327324432,2129240
1684327324472,2129592
1684327324512,2130061
1684327324552,2130776
1684327324593,2131330
1684327324632,2131307
1684327324672,2130646
1684327324712,2130389
1684327324752,2130806
1684327324793,2131678
1684327324832,2133156
1684327324872,2134766
1684327324912,2135783
1684327324952,2136793
1684327324993,2138688
1684327325032,2140542
1684327325072,2141462
1684327325112,2142336
1684327325152,2143746
1684327325193,2144620
1684327325232,2145868
1684327325272,2146852
1684327325312,2147017
1684327325352,2146965
1684327325393,2146192
1684327325432,2145564
1684327325472,2144867
1684327325512,2144231
1684327325552,2143397
1684327325593,2142738
1684327325632,2142224
1684327325673,2141712
1684327325712,2141336
1684327325752,2141161
1684327325793,2141075
1684327325833,2140813
1684327325873,2140156
1684327325913,2139466
1684327325953,2139017
1684327325993,2139027
1684327326033,2139390
1684327326073,2139435
1684327326113,2139316
1684327326153,2139437
1684327326194,2139543
1684327326233,2139593
1684327326273,2139780
1684327326313,2139790
1684327326353,2139866
1684327326394,2139877
1684327326433,2139211
1684327326473,2138828
1684327326513,2139019
1684327326553,2139051
1684327326594,2139489
1684327326633,2140471
1684327326673,2141178
1684327326713,2141835
1684327326753,2142884
1684327326794,2143917
1684327326833,2145722
1684327326873,2147194
1684327326913,2148543
1684327326953,2150215
1684327326994,2151765
1684327327033,2152164
1684327327073,2152500
1684327327114,2152837
1684327327153,2153331
1684327327194,2154001
1684327327234,2154677
1684327327274,2154865
1684327327314,2154962
1684327327354,2155277
1684327327394,2155783
1684327327434,2156349
1684327327474,2156670
1684327327514,2157031
1684327327554,2157203
1684327327595,2157207
1684327327634,2156547
1684327327674,2155995
1684327327714,2155509
1684327327754,2155441
1684327327795,2155505
1684327327834,2155479
1684327327874,2155265
1684327327914,2155138
1684327327954,2155174
1684327327995,2155272
1684327328034,2155390
1684327328074,2155864
1684327328114,2156438
1684327328154,2156690
1684327328195,2156377
1684327328234,2155862
1684327328274,2155309
1684327328314,2154971
1684327328354,2154916
1684327328395,2155043
1684327328434,2155120
1684327328474,2155161
1684327328514,2155376
1684327328555,2155729
1684327328595,2156041
1684327328634,2156629
1684327328675,2157330
1684327328715,2158066
1684327328755,2158532
1684327328795,2158489
1684327328835,2158146
1684327328875,2157773
1684327328915,2157794
1684327328955,2157798
1684327328995,2158002
1684327329035,2158335
1684327329075,2158383
1684327329115,2158473
1684327329155,2158619
1684327329196,2158896
1684327329235,2159186
1684327329275,2159610
1684327329315,2160074
1684327329355,2160437
1684327329396,2159904
1684327329435,2159079
1684327329475,2157991
1684327329515,2157101
1684327329555,2156377
1684327329596,2156227
1684327329635,2156035
1684327329675,2155649
1684327329715,2155373
1684327329755,2155064
1684327329796,2154977
1684327329835,2155130
1684327329875,2155238
1684327329915,2155380
1684327329955,2155736
1684327329996,2156055
1684327330035,2156009
1684327330075,2155248
1684327330116,2153977
1684327330155,2152893
1684327330196,2152001
1684327330236,2151575
1684327330276,2151358
1684327330316,2151226
1684327330356,2151049
1684327330396,2150842
1684327330436,2150860
1684327330476,2150803
1684327330516,2151101
1684327330556,2151423
1684327330597,2151702
1684327330636,2152023
1684327330676,2152393
1684327330716,2152773
1684327330756,2152351
1684327330797,2151000
1684327330836,2149591
1684327330876,2148499
1684327330916,2147620
1684327330956,2147172
1684327330997,2146843
1684327331036,2146346
1684327331076,2145968
1684327331116,2145580
1684327331156,2145464
1684327331197,2145629
1684327331236,2145651
1684327331276,2145858
1684327331316,2146396
1684327331356,2146991
1684327331397,2147840
1684327331436,2148629
1684327331476,2148241
1684327331516,2147135
1684327331556,2146152
1684327331597,2145511
1684327331636,2145358
1684327331677,2145559
1684327331716,2145443
1684327331757,2145057
1684327331797,2145024
1684327331836,2145363
1684327331877,2145695
1684327331917,2146095
1684327331957,2146879
1684327331997,2147779
1684327332037,2148567
1684327332077,2149258
1684327332117,2150145
1684327332157,2150842
1684327332197,2150322
1684327332237,2149500
1684327332277,2148187
1684327332317,2147177
1684327332357,2146582
1684327332398,2146230
1684327332437,2145834
1684327332477,2145694
1684327332517,2145882
1684327332557,2146702
1684327332598,2147770
1684327332637,2149045
1684327332677,2149843
1684327332717,2149973
1684327332757,2150202
1684327332798,2150670
1684327332837,2150466
1684327332877,2150204
1684327332917,2149853
1684327332957,2149231
1684327332998,2149220
1684327333037,2149795
1684327333077,2150270
1684327333118,2150872
1684327333157,2151137
1684327333198,2151814
1684327333238,2152402
1684327333277,2153282
1684327333317,2153925
1684327333358,2154764
1684327333398,2155621
1684327333438,2156335
1684327333478,2157113
1684327333518,2157202
1684327333558,2156635
1684327333598,2156039
1684327333638,2155605
1684327333678,2155356
1684327333718,2155311
1684327333758,2155216
1684327333798,2155056
1684327333838,2154749
1684327333878,2154670
1684327333918,2154991
1684327333958,2155244
1684327333999,2155555
1684327334038,2156147
1684327334078,2156844
1684327334118,2157315
1684327334158,2157820
1684327334199,2157680
1684327334238,2156855
1684327334278,2156158
1684327334318,2155722
1684327334358,2155594
1684327334399,2155692
1684327334438,2155828
1684327334478,2155884
1684327334518,2155913
1684327334558,2156100
1684327334599,2156465
1684327334638,2156729
1684327334678,2157417
1684327334718,2157955
1684327334758,2158488
1684327334799,2159151
1684327334838,2159637
1684327334878,2159284
1684327334919,2158316
1684327334958,2157545
1684327334999,2157092
1684327335039,2156728
1684327335078,2156782
1684327335119,2156794
1684327335159,2156881
1684327335199,2156926
1684327335239,2157125
1684327335279,2157394
1684327335319,2157823
1684327335359,2158127
1684327335400,2158680
1684327335439,2159265
1684327335479,2159779
1684327335519,2160381
1684327335559,2160753
1684327335600,2159855
1684327335639,2159011
1684327335679,2158503
1684327335719,2158191
1684327335759,2158138
1684327335800,2158190
1684327335839,2158351
1684327335879,2158239
1684327335919,2158264
1684327335959,2158570
1684327336000,2159198
1684327336039,2160082
1684327336079,2160718
1684327336119,2161385
1684327336159,2162055
1684327336200,2162777
1684327336239,2163317
1684327336279,2162786
1684327336319,2161773
1684327336360,2161121
1684327336400,2160502
1684327336439,2160352
1684327336480,2160180
1684327336520,2159870
1684327336560,2159552
1684327336600,2159136
1684327336640,2158949
1684327336680,2158953
1684327336720,2159379
1684327336760,2159561
1684327336800,2159973
1684327336840,2160533
1684327336880,2161189
1684327336920,2161684
1684327336960,2161323
1684327337000,2160450
1684327337040,2159691
1684327337080,2159026
1684327337120,2158847
1684327337160,2158962
1684327337201,2158891
1684327337240,2158818
1684327337280,2158863
1684327337320,2158999
1684327337360,2159111
1684327337401,2159505
1684327337440,2160062
1684327337480,2160649
1684327337520,2161077
1684327337560,2161642
1684327337601,2162329
1684327337640,2162880
1684327337680,2162814
1684327337720,2162134
1684327337760,2161113
1684327337801,2160352
1684327337840,2159789
1684327337880,2159402
1684327337921,2158860
1684327337960,2158769
1684327338001,2158801
1684327338041,2158756
1684327338081,2158962
1684327338121,2159414
1684327338161,2159764
1684327338201,2160057
1684327338241,2160461
1684327338281,2161016
1684327338321,2161493
1684327338361,2162028
1684327338402,2162711
1684327338441,2162895
1684327338481,2162269
1684327338521,2161679
1684327338561,2161233
1684327338602,2160914
1684327338641,2160673
1684327338681,2160661
1684327338721,2160792
1684327338761,2160804
1684327338802,2161159
1684327338841,2161328
1684327338881,2161666
1684327338921,2161853
1684327338961,2162260
1684327339002,2162597
1684327339041,2162968
1684327339081,2163396
1684327339121,2164271
1684327339161,2164782
1684327339202,2165091
1684327339241,2164941
1684327339281,2164503
1684327339321,2164220
1684327339361,2164082
1684327339402,2164201
1684327339441,2164548
1684327339482,2164919
1684327339521,2165100
1684327339561,2165264
1684327339602,2165446
1684327339641,2165787
1684327339682,2165952
1684327339722,2166320
1684327339762,2166637
1684327339802,2167201
1684327339842,2167949
1684327339882,2168630
1684327339922,2169555
1684327339962,2170210
1684327340002,2170307
1684327340042,2170024
1684327340082,2169965
1684327340122,2169936
1684327340162,2170157
1684327340203,2170271
1684327340242,2170438
1684327340282,2170103
1684327340322,2169607
1684327340362,2169173
1684327340403,2168989
1684327340442,2168726
1684327340482,2168621
1684327340522,2168439
1684327340562,2168331
1684327340603,2168206
1684327340642,2168019
1684327340682,2167992
1684327340722,2167579
1684327340762,2166704
1684327340803,2165701
1684327340842,2164859
1684327340882,2164042
1684327340922,2163433
1684327340962,2163051
1684327341003,2162558
1684327341043,2162043
1684327341082,2161563
1684327341122,2161226
1684327341163,2160955
1684327341203,2160701
1684327341243,2160655
1684327341283,2160488
1684327341323,2160524
1684327341363,2160466
1684327341403,2160756
1684327341443,2161453
1684327341483,2161675
1684327341523,2161275
1684327341563,2160953
1684327341603,2160884
1684327341643,2160841
1684327341683,2160843
1684327341723,2160861
1684327341763,2160810
1684327341804,2160701
1684327341843,2161143
1684327341883,2161357
1684327341923,2161734
1684327341963,2162455
1684327342004,2163424
1684327342043,2164400
1684327342083,2165719
1684327342123,2167001
1684327342163,2167388
1684327342204,2167056
1684327342243,2166675
1684327342283,2165619
1684327342323,2165003
1684327342363,2164906
1684327342404,2164634
1684327342443,2164531
1684327342483,2164370
1684327342523,2164344
1684327342563,2164436
1684327342604,2164392
1684327342643,2164509
1684327342683,2164821
1684327342724,2165251
1684327342763,2165490
1684327342804,2166000
1684327342844,2165161
1684327342884,2163637
1684327342924,2162223
1684327342964,2160745
1684327343004,2159292
1684327343044,2158432
1684327343084,2157579
1684327343124,2156204
1684327343164,2154984
1684327343205,2154356
1684327343244,2152803
1684327343284,2151187
1684327343324,2149907
1684327343364,2148624
1684327343405,2147508
1684327343444,2146324
1684327343484,2144511
1684327343524,2141703
1684327343564,2139039
1684327343605,2136060
1684327343644,2133196
1684327343684,2131869
1684327343724,2131202
1684327343764,2129933
1684327343805,2128306
1684327343844,2126764
1684327343884,2125369
1684327343924,2124365
1684327343964,2123451
1684327344005,2122468
1684327344044,2121788
1684327344084,2121352
1684327344124,2120541
1684327344164,2118059
1684327344205,2114778
1684327344244,2111719
1684327344285,2109040
1684327344324,2106566
1684327344364,2104642
1684327344405,2103225
1684327344444,2101932
1684327344484,2100641
1684327344525,2099285
1684327344565,2098006
1684327344605,2097258
1684327344645,2097016
1684327344685,2097127
1684327344725,2096750
1684327344765,2096096
1684327344805,2093473
1684327344845,2091075
1684327344885,2089372
1684327344925,2087539
1684327344965,2086587
1684327345006,2086474
1684327345045,2086381
1684327345085,2086439
1684327345125,2085617
1684327345165,2085495
1684327345206,2086430
1684327345245,2088211
1684327345285,2089370
1684327345325,2091793
1684327345365,2094300
1684327345406,2095771
1684327345445,2094115
1684327345485,2091034
1684327345525,2088573
1684327345565,2086843
1684327345606,2086110
1684327345645,2087845
1684327345685,2089566
1684327345725,2091515
1684327345765,2093323
1684327345806,2094517
1684327345845,2093098
1684327345885,2094126
1684327345925,2095214
1684327345966,2096164
1684327346006,2096874
1684327346046,2097475
1684327346086,2097630
1684327346126,2095715
1684327346166,2094400
1684327346206,2092164
1684327346246,2091015
1684327346286,2090392
1684327346326,2089909
1684327346366,2089120
1684327346406,2087286
1684327346446,2085436
1684327346486,2084136
1684327346526,2082892
1684327346566,2081664
1684327346607,2080863
1684327346646,2079886
1684327346686,2079063
1684327346726,2078578
1684327346766,2077521
1684327346807,2074924
1684327346846,2072643
1684327346886,2070418
1684327346926,2068589
1684327346966,2067527
1684327347007,2066885
1684327347046,2066025
1684327347086,2065513
1684327347126,2064806
1684327347166,2063675
1684327347207,2063344
1684327347246,2064043
1684327347286,2064226
1684327347326,2064684
1684327347366,2065271
1684327347407,2064832
1684327347446,2063708
1684327347486,2063015
1684327347527,2062490
1684327347566,2061615
1684327347607,2060821
1684327347647,2060457
1684327347687,2059838
1684327347727,2058539
1684327347767,2057362
1684327347807,2057142
1684327347847,2055966
1684327347887,2055564
1684327347927,2056843
1684327347967,2057596
1684327348008,2059055
1684327348047,2058186
1684327348087,2056429
1684327348127,2054876
1684327348167,2054319
1684327348208,2055376
1684327348247,2056879
1684327348287,2060220
1684327348327,2069547
1684327348367,2078623
1684327348408,2085171
1684327348447,2090366
1684327348487,2095906
1684327348527,2100265
1684327348567,2104280
1684327348608,2110460
1684327348647,2117611
1684327348687,2121971
1684327348727,2127245
1684327348767,2126651
1684327348808,2127224
1684327348847,2128349
1684327348887,2130105
1684327348927,2132126
1684327348968,2133495
1684327349008,2134320
1684327349047,2135778
1684327349088,2137285
1684327349128,2138738
1684327349168,2139965
1684327349208,2141378
1684327349248,2142769
1684327349288,2143698
1684327349328,2144573
1684327349368,2145164
1684327349408,2145164
1684327349448,2145136
1684327349488,2145297
1684327349528,2145610
1684327349568,2145955
1684327349608,2146715
1684327349648,2147455
1684327349688,2147927
1684327349728,2148349
1684327349768,2149236
1684327349809,2150146
1684327349848,2151262
1684327349888,2152421
1684327349928,2153392
1684327349968,2154219
1684327350009,2154839
1684327350048,2154551
1684327350088,2154147
1684327350128,2154075
1684327350168,2154065
1684327350209,2154348
1684327350248,2154749
1684327350288,2155226
1684327350328,2155611
1684327350368,2156100
1684327350409,2156818
1684327350448,2157590
1684327350488,2158506
1684327350529,2159356
1684327350568,2160176
1684327350609,2161255
1684327350649,2161728
1684327350689,2161328
1684327350729,2160810
1684327350769,2160313
1684327350809,2159995
1684327350849,2160042
1684327350889,2160225
1684327350929,2160362
1684327350969,2160424
1684327351010,2160803
1684327351049,2161208
1684327351089,2161654
1684327351129,2162098
1684327351169,2162613
1684327351210,2163404
1684327351249,2163906
1684327351289,2164684
1684327351329,2164254
1684327351369,2163073
1684327351410,2162073
1684327351449,2160971
1684327351489,2160118
1684327351529,2159736
1684327351569,2159632
1684327351610,2159559
1684327351649,2159603
1684327351689,2159582
1684327351729,2159713
1684327351769,2159714
1684327351810,2159932
1684327351849,2160119
1684327351889,2160300
1684327351929,2160545
1684327351969,2160651
1684327352010,2159843
1684327352049,2158332
1684327352090,2156638
1684327352129,2155359
1684327352169,2154400
1684327352210,2153880
1684327352250,2153433
1684327352290,2153178
1684327352330,2152814
