Timestamp,ppgIr 
1684327303679,0 
1684327303698,699040 
1684327303707,490462 
1684327303717,490328 
1684327303727,490198 
1684327303737,490199 
1684327303747,490113 
1684327303758,490076 
1684327303767,490032 
1684327303778,489906 
1684327303787,489935 
1684327303797,489830 
1684327303807,489815 
1684327303818,489727 
1684327303827,489723 
1684327303837,489683 
1684327303847,489664 
1684327303857,489618 
1684327303867,489632 
1684327303878,489686 
1684327303887,489673 
1684327303897,489737 
1684327303907,489700 
1684327303918,489719 
1684327303927,489725 
1684327303938,489767 
1684327303947,489779 
1684327303957,622556 
1684327303967,622438 
1684327303978,622429 
1684327303987,622442 
1684327303997,622391 
1684327304007,622441 
1684327304017,622387 
1684327304027,622414 
1684327304037,622374 
1684327304047,622325 
1684327304057,622325 
1684327304067,622256 
1684327304079,1181435 
1684327304087,1181400 
1684327304097,1233889 
1684327304107,1233684 
1684327304118,1233491 
1684327304127,1233260 
1684327304137,1233133 
1684327304147,1233007 
1684327304157,1232932 
1684327304167,1232937 
1684327304178,1232787 
1684327304187,1232748 
1684327304197,1232600 
1684327304207,1232537 
1684327304218,6090886 
1684327304227,6090804 
1684327304238,6127194 
1684327304247,6126763 
1684327304257,6126462 
1684327304267,6126456 
1684327304278,6125424 
1684327304287,6125232 
1684327304298,6125345 
1684327304307,6125766 
1684327304317,6125978 
1684327304327,6125603 
1684327304337,6124939 
1684327304347,6124150 
1684327304358,6123542 
1684327304367,6123261 
1684327304379,6123008 
1684327304387,6123021 
1684327304398,6122661 
1684327304407,6122478 
1684327304418,6122332 
1684327304427,6122319 
1684327304438,6121978 
1684327304447,6121856 
1684327304458,6121619 
1684327304467,6121716 
1684327304479,6122184 
1684327304487,6122851 
1684327304498,6123213 
1684327304507,6123064 
1684327304518,6122436 
1684327304527,6121759 
1684327304538,6121560 
1684327304547,6121743 
1684327304558,6121816 
1684327304567,6122193 
1684327304579,6122323 
1684327304587,6122072 
1684327304598,6121468 
1684327304607,6119427 
1684327304618,6118578 
1684327304627,6117966 
1684327304638,6117540 
1684327304648,6116807 
1684327304658,6116264 
1684327304667,6115469 
1684327304679,6115202 
1684327304687,6115433 
1684327304698,6115751 
1684327304707,6115687 
1684327304718,6115652 
1684327304727,6115385 
1684327304738,6115037 
1684327304747,6114716 
1684327304758,6113937 
1684327304767,6113256 
1684327304779,6112685 
1684327304787,6111859 
1684327304798,6111409 
1684327304808,6111262 
1684327304818,6111195 
1684327304828,6111008 
1684327304838,6110516 
1684327304848,6109992 
1684327304858,6108951 
1684327304868,6107930 
1684327304879,6106771 
1684327304888,6105618 
1684327304898,6104838 
1684327304908,6104067 
1684327304918,6103269 
1684327304928,6102711 
1684327304938,6101959 
1684327304948,6101113 
1684327304958,6100459 
1684327304968,6099391 
1684327304979,6098704 
1684327304988,6097846 
1684327304998,6097504 
1684327305008,6097448 
1684327305018,6097395 
1684327305028,6097774 
1684327305038,6098040 
1684327305048,6098084 
1684327305058,6099517 
1684327305068,6101325 
1684327305079,6100377 
1684327305088,6099668 
1684327305098,6097949 
1684327305108,6096757 
1684327305118,6095816 
1684327305128,6094827 
1684327305138,6093388 
1684327305148,6092181 
1684327305158,6091174 
1684327305168,6090320 
1684327305179,6089779 
1684327305188,6089296 
1684327305198,6087917 
1684327305208,6086365 
1684327305218,6084735 
1684327305228,6082603 
1684327305238,6080013 
1684327305248,6077568 
1684327305258,6075658 
1684327305268,6074289 
1684327305279,6073471 
1684327305288,6072468 
1684327305298,6070017 
1684327305308,6067827 
1684327305318,6066581 
1684327305328,6065737 
1684327305338,6064225 
1684327305348,6062538 
1684327305358,6060519 
1684327305368,6058372 
1684327305379,6056000 
1684327305388,6053706 
1684327305398,6051583 
1684327305408,6049842 
1684327305418,6048047 
1684327305428,6046715 
1684327305439,6045023 
1684327305448,6043309 
1684327305458,6041527 
1684327305468,6039372 
1684327305479,6037001 
1684327305488,6034635 
1684327305498,6032697 
1684327305508,6030909 
1684327305518,6029489 
1684327305528,6027823 
1684327305538,6026457 
1684327305548,6025100 
1684327305559,6024906 
1684327305568,6024904 
1684327305579,6025523 
1684327305588,6025587 
1684327305599,6025932 
1684327305608,6026423 
1684327305619,6026666 
1684327305628,6027007 
1684327305639,6027691 
1684327305648,6028489 
1684327305658,6029083 
1684327305668,6029531 
1684327305680,6029242 
1684327305688,6028853 
1684327305698,6028526 
1684327305708,6028228 
1684327305719,6028326 
1684327305728,6028438 
1684327305739,6028504 
1684327305748,6028799 
1684327305759,6029169 
1684327305768,6029288 
1684327305779,6029175 
1684327305788,6029320 
1684327305799,6029733 
1684327305808,6030281 
1684327305819,6031570 
1684327305828,6033061 
1684327305839,6035087 
1684327305848,6037071 
1684327305859,6039370 
1684327305868,6042540 
1684327305880,6046522 
1684327305888,6053139 
1684327305899,6062506 
1684327305908,6074580 
1684327305919,6089002 
1684327305928,6096855 
1684327305939,6099287 
1684327305948,6100713 
1684327305959,6100854 
1684327305968,6099479 
1684327305980,6098358 
1684327305988,6097284 
1684327305999,6096391 
1684327306009,6095380 
1684327306019,6094589 
1684327306028,6094275 
1684327306039,6094235 
1684327306049,6094368 
1684327306059,6094688 
1684327306069,6093961 
1684327306080,6093260 
1684327306089,6091973 
1684327306099,6090362 
1684327306109,6089285 
1684327306119,6087870 
1684327306129,6086167 
1684327306139,6083670 
1684327306149,6081001 
1684327306159,6077389 
1684327306169,6074078 
1684327306180,6070557 
1684327306189,6066916 
1684327306199,6063595 
1684327306209,6061252 
1684327306219,6059121 
1684327306229,6057987 
1684327306239,6057008 
1684327306249,6055571 
1684327306259,6054017 
1684327306269,6051828 
1684327306280,6049121 
1684327306289,6046066 
1684327306299,6043055 
1684327306309,6040630 
1684327306319,6039183 
1684327306329,6038107 
1684327306339,6037695 
1684327306349,6037282 
1684327306360,6037183 
1684327306369,6036518 
1684327306380,6035570 
1684327306389,6034278 
1684327306399,6032932 
1684327306409,6032470 
1684327306419,6031850 
1684327306429,6031454 
1684327306439,6030925 
1684327306449,6030550 
1684327306459,6030278 
1684327306469,6030241 
1684327306480,6030097 
1684327306489,6029967 
1684327306499,6030173 
1684327306509,6030215 
1684327306519,6030345 
1684327306529,6030045 
1684327306539,6029831 
1684327306549,6029591 
1684327306559,6029263 
1684327306569,6029320 
1684327306580,6029395 
1684327306589,6029502 
1684327306599,6030112 
1684327306609,6030432 
1684327306619,6030317 
1684327306629,6030115 
1684327306639,6029512 
1684327306649,6028764 
1684327306659,6028085 
1684327306669,6027562 
1684327306681,6027549 
1684327306689,6027956 
1684327306699,6028094 
1684327306709,6027916 
1684327306719,6028144 
1684327306729,6028444 
1684327306739,6028946 
1684327306749,6029021 
1684327306760,6029042 
1684327306769,6029315 
1684327306780,6029191 
1684327306789,6029074 
1684327306799,6028927 
1684327306809,6028423 
1684327306819,6027958 
1684327306829,6027636 
1684327306839,6027187 
1684327306849,6027217 
1684327306859,6027119 
1684327306869,6027057 
1684327306881,6027114 
1684327306889,6027665 
1684327306899,6028052 
1684327306909,6027891 
1684327306919,6028064 
1684327306929,6027791 
1684327306939,6027983 
1684327306949,6028171 
1684327306959,6028321 
1684327306969,6027934 
1684327306980,6027643 
1684327306989,6026935 
1684327307000,6026624 
1684327307009,6026570 
1684327307019,6026826 
1684327307029,6027410 
1684327307040,6027992 
1684327307049,6027993 
1684327307060,6028131 
1684327307069,6027939 
1684327307081,6027633 
1684327307089,6026584 
1684327307099,6026920 
1684327307109,6027318 
