Timestamp,ppgRed 
1684327303698,699040 
1684327303707,290152 
1684327303717,290097 
1684327303727,290154 
1684327303737,290118 
1684327303747,290103 
1684327303758,290045 
1684327303767,290121 
1684327303778,290086 
1684327303787,290034 
1684327303797,290051 
1684327303807,289978 
1684327303818,289957 
1684327303827,289942 
1684327303837,289946 
1684327303847,289953 
1684327303857,290006 
1684327303867,290028 
1684327303878,290054 
1684327303887,290096 
1684327303897,290048 
1684327303907,290099 
1684327303918,290149 
1684327303927,290152 
1684327303938,290176 
1684327303947,532875 
1684327303957,532879 
1684327303967,532928 
1684327303978,532943 
1684327303987,532906 
1684327303997,532966 
1684327304007,533024 
1684327304017,533027 
1684327304027,532990 
1684327304037,532905 
1684327304047,532879 
1684327304057,532782 
1684327304067,532767 
1684327304079,917274 
1684327304087,1039056 
1684327304097,1039009 
1684327304107,1038923 
1684327304118,1038819 
1684327304127,1038715 
1684327304137,1038589 
1684327304147,1038603 
1684327304157,1038547 
1684327304167,1038577 
1684327304178,1038561 
1684327304187,1038454 
1684327304197,1038482 
1684327304207,1038483 
1684327304218,5197814 
1684327304227,5178121 
1684327304238,5177981 
1684327304247,5177662 
1684327304257,5177574 
1684327304267,5177061 
1684327304278,5176320 
1684327304287,5175965 
1684327304298,5175720 
1684327304307,5175911 
1684327304317,5175821 
1684327304327,5175316 
1684327304337,5174178 
1684327304347,5172895 
1684327304358,5171915 
1684327304367,5171290 
1684327304379,5170663 
1684327304387,5170504 
1684327304398,5169922 
1684327304407,5169375 
1684327304418,5169289 
1684327304427,5169068 
1684327304438,5169049 
1684327304447,5168841 
1684327304458,5168632 
1684327304467,5169151 
1684327304479,5171005 
1684327304487,5172763 
1684327304498,5173027 
1684327304507,5172920 
1684327304518,5171804 
1684327304527,5171246 
1684327304538,5170965 
1684327304547,5171295 
1684327304558,5171664 
1684327304567,5171853 
1684327304579,5171640 
1684327304587,5171417 
1684327304598,5170463 
1684327304607,5169424 
1684327304618,5168396 
1684327304627,5167554 
1684327304638,5167069 
1684327304648,5166587 
1684327304658,5165781 
1684327304667,5165102 
1684327304679,5164674 
1684327304687,5164657 
1684327304698,5164610 
1684327304707,5164504 
1684327304718,5164606 
1684327304727,5164484 
1684327304738,5164343 
1684327304747,5163936 
1684327304758,5163358 
1684327304767,5162952 
1684327304779,5162676 
1684327304787,5162378 
1684327304798,5162274 
1684327304808,5162240 
1684327304818,5162126 
1684327304828,5162339 
1684327304838,5161979 
1684327304848,5161644 
1684327304858,5160703 
1684327304868,5159920 
1684327304879,5158767 
1684327304888,5157894 
1684327304898,5157303 
1684327304908,5156797 
1684327304918,5156505 
1684327304928,5155622 
1684327304938,5155111 
1684327304948,5153975 
1684327304958,5153288 
1684327304968,5152568 
1684327304979,5151967 
1684327304988,5151295 
1684327304998,5151181 
1684327305008,5151430 
1684327305018,5151493 
1684327305028,5152096 
1684327305038,5152395 
1684327305048,5152725 
1684327305058,5154687 
1684327305068,5154779 
1684327305079,5153554 
1684327305088,5152063 
1684327305098,5150064 
1684327305108,5148425 
1684327305118,5147003 
1684327305128,5145272 
1684327305138,5143782 
1684327305148,5142129 
1684327305158,5140733 
1684327305168,5139728 
1684327305179,5138558 
1684327305188,5137244 
1684327305198,5135320 
1684327305208,5133395 
1684327305218,5131148 
1684327305228,5128308 
1684327305238,5125531 
1684327305248,5122165 
1684327305258,5119036 
1684327305268,5116712 
1684327305279,5114813 
1684327305288,5112414 
1684327305298,5108977 
1684327305308,5104512 
1684327305318,5099042 
1684327305328,5095230 
1684327305338,5092032 
1684327305348,5090392 
1684327305358,5089818 
1684327305368,5089830 
1684327305379,5089487 
1684327305388,5089425 
1684327305398,5090133 
1684327305408,5091238 
1684327305418,5093146 
1684327305428,5094989 
1684327305439,5096926 
1684327305448,5098402 
1684327305458,5098841 
1684327305468,5098796 
1684327305479,5098825 
1684327305488,5098404 
1684327305498,5098792 
1684327305508,5099513 
1684327305518,5100430 
1684327305528,5101225 
1684327305538,5101602 
1684327305548,5102252 
1684327305559,5103968 
1684327305568,5105917 
1684327305579,5108226 
1684327305588,5110488 
1684327305599,5112327 
1684327305608,5114632 
1684327305619,5116415 
1684327305628,5118548 
1684327305639,5120763 
1684327305648,5123254 
1684327305658,5125678 
1684327305668,5127966 
1684327305680,5129333 
1684327305688,5130311 
1684327305698,5131266 
1684327305708,5132469 
1684327305719,5133916 
1684327305728,5135695 
1684327305739,5137633 
1684327305748,5140127 
1684327305759,5142339 
1684327305768,5144299 
1684327305779,5145943 
1684327305788,5147796 
1684327305799,5149960 
1684327305808,5152310 
1684327305819,5155112 
1684327305828,5158487 
1684327305839,5162125 
1684327305848,5165588 
1684327305859,5169837 
1684327305868,5175205 
1684327305880,5182495 
1684327305888,5193104 
1684327305899,5206603 
1684327305908,5222096 
1684327305919,5239304 
1684327305928,5249196 
1684327305939,5254446 
1684327305948,5257285 
1684327305959,5257489 
1684327305968,5255771 
1684327305980,5253371 
1684327305988,5250812 
1684327305999,5248576 
1684327306009,5247146 
1684327306019,5245862 
1684327306028,5245078 
1684327306039,5244252 
1684327306049,5243725 
1684327306059,5243283 
1684327306069,5242650 
1684327306080,5242170 
1684327306089,5240915 
1684327306099,5239530 
1684327306109,5238169 
1684327306119,5236297 
1684327306129,5234006 
1684327306139,5231946 
1684327306149,5229853 
1684327306159,5226479 
1684327306169,5222735 
1684327306180,5218899 
1684327306189,5215270 
1684327306199,5212207 
1684327306209,5209534 
1684327306219,5207856 
1684327306229,5206650 
1684327306239,5205221 
1684327306249,5203242 
1684327306259,5201277 
1684327306269,5198710 
1684327306280,5195509 
1684327306289,5192329 
1684327306299,5189950 
1684327306309,5187805 
1684327306319,5186423 
1684327306329,5185757 
1684327306339,5185432 
1684327306349,5185094 
1684327306360,5184744 
1684327306369,5184064 
1684327306380,5182992 
1684327306389,5181865 
1684327306399,5180893 
1684327306409,5179827 
1684327306419,5178931 
1684327306429,5178569 
1684327306439,5178317 
1684327306449,5178017 
1684327306459,5177825 
1684327306469,5177491 
1684327306480,5177808 
1684327306489,5178023 
1684327306499,5177834 
1684327306509,5177976 
1684327306519,5177796 
1684327306529,5177280 
1684327306539,5176900 
1684327306549,5176306 
1684327306559,5176359 
1684327306569,5176190 
1684327306580,5176414 
1684327306589,5176613 
1684327306599,5176809 
1684327306609,5176786 
1684327306619,5176533 
